id;gatunek;srednica;wytop;kg;data_wystwienia
1;OK AristoRod 69;1;PVV41056630B;18;
2;OK AristoRod 69;1;PVV18320032B;18;
3;OK Autrod 308LSi;1;PVS025501780;15;
4;OK Autrod 309LSi;1;PVS067733490;15;
5;OK Autrod 316LSi;1;PV6035440580;15;
6;OK NiFe-CI;2,5;SBU3410217;;
7;BÖHLER X 70-IG;1;106428;432;
8;BÖHLER X 70-IG;1;106395;126;
9;FLUXOFIL M 42;1,2;C3FC202108;;
10;BÖHLER X 70-IG;1;106428;432;
11;BÖHLER X 70-IG;1;106395;126;
12;FLUXOFIL M 42;1,2;M1FC214296;;
13;OK 67.70;2,5;SBV3610150;102;
14;OK 67.70;2,5;SBW1010610;102;
15;OK AristoRod 69;1;PVW0311448;1008;28.02.2022
16;OK Autrod 12.64;1;PVV43668887;;11.07.2022
17;OK Autrod 12.56;1;PV614039879X;;18.01.2017
18;OK Tigrod 316LSi;2;PVW0610748;;03.10.2022
19;Diamondspark 700MC;1,2;1002812;500;
20;OK NiFe-Cl;2,5;SBW0510047;;14.10.2022
21;OK Tigrod 316LSi;2;PVW0610748;;19.10.2022
22;OK 67.70;2,5;SBW1312650;;01.12.2022
23;Ceweld ER 100 S-G;2;210344;;01.12.2022
24;OK AristoRod 69;1;PVW3711511;1008;13.12.2022
25;OK 67.70;3,2;SBV3210182;;13.12.2022
26;OK Autrod 12.64;1;PVW4410178;;13.12.2022
27;Diamondspark 700MC;1,2;1027312;;13.12.2022
28;Diamondspark 700MC;1,2;1030612;;13.12.2022
29;FLUXOFIL M 42;1,2;MF1FC224307;;22.12.2022
30;OK AristoRod 69;1;PVW3711511;;09.02.2023
31;OK 67.70;3,2;SBW1111323;;09.02.2023
32;OK 67.70;2,5;SBW3411082;;15.02.2023
33;OK 48.00;2,5;SBW4312621;;15.02.2023
34;OK 48.00;3,2;SFW4812388;;15.02.2023
35;Diamondspark 700MC;1,2;1027212;;10.03.2023
36;OK Tigrod 4047;2,4;RBW4300916;;10.03.2023
